title,location,time_of_work,type_of_agreement,salary,article_url
Kucharz do włoskiej restauracji,"Warszawa, Włochy",,Umowa o pracę,/mies.  brutto od 13 zł,https://www.olx.pl/oferta/kucharz-do-wloskiej-restauracji-CID4-IDCOeyv.html#47c989f65b
zatrudnię kelnerke,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, do 17 zł/mies.  brutto,https://www.olx.pl/oferta/zatrudnie-kelnerke-CID4-IDCO5qO.html#47c989f65b
Kucharka od stycznia,"Warszawa, Wawer",,Umowa o pracę, od 3 200 zł do 3 250 zł,https://www.olx.pl/oferta/kucharka-od-stycznia-CID4-IDCNN9Y.html#47c989f65b
Kelner/Kelnerka,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/mies.  brutto od 3 200 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDtITnr.html#47c989f65b
"NOWE WYŻSZE STAWKI !! 18,5 zł/h Praca w Restauracji McDonald's","Warszawa, Targówek",,Umowa o pracę, do 3 250 zł/mies.  brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-praca-w-restauracji-mcdonalds-CID4-IDArTkW.html#47c989f65b
"NOWE WYŻSZE STAWKI 18,5 zł/h Godzinach popołudniowe- McDonald's","Warszawa, Wola",Pełny etat,Umowa o pracę, od 4 100 zł do 4 120 zł,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-godzinach-popoludniowe-mcdonalds-CID4-IDBDaHR.html#47c989f65b
NOWE WYŻSZE STAWKI !!! Menager Restauracji McDonald's ul. Pelikanów 24,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto od 7 000 zł,https://www.olx.pl/oferta/nowe-wyzsze-stawki-menager-restauracji-mcdonalds-ul-pelikanow-24-CID4-IDBFsLV.html#47c989f65b
Manager Generalny / Restauracja Ursynów,"Warszawa, Ursynów",Pełny etat,Umowa o pracę, do 15 000 zł/mies.  brutto,https://www.olx.pl/oferta/manager-generalny-restauracja-ursynow-CID4-IDCIq8A.html#47c989f65b
bufetowa/bufetowy z wydawaniem posiłków,"Warszawa, Ursynów",,Umowa o pracę, od 14 zł do 15 zł,https://www.olx.pl/oferta/bufetowa-bufetowy-z-wydawaniem-posilkow-CID4-IDB0XsY.html#47c989f65b
produkcja kanapek&sałatek - nocna zmiana (21:00 - 05:00),"Warszawa, Ursynów",Pełny etat,Umowa o pracę,/godz.  brutto od 14 zł,https://www.olx.pl/oferta/produkcja-kanapek-salatek-nocna-zmiana-2100-0500-CID4-IDB10yo.html#47c989f65b
pomoc kuchenna w stołówce szkolnej,"Warszawa, Ursynów",,Umowa o pracę, do 15 zł/godz.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-w-stolowce-szkolnej-CID4-IDB0W5i.html#47c989f65b
Obsługa klienta w Centrum Warszawy 14 zł/h netto,"Warszawa, Bielany",Pełny etat,Umowa o pracę, od 4 500 zł do 6 000 zł,https://www.olx.pl/oferta/obsluga-klienta-w-centrum-warszawy-14-zl-h-netto-CID4-IDCI9YD.html#47c989f65b
Sprzedawca gastronomia,"Warszawa, Bielany",,Umowa o pracę,/mies.  brutto od 4 000 zł,https://www.olx.pl/oferta/sprzedawca-gastronomia-CID4-IDCMUmv.html#47c989f65b
Pracownik do gastronomii,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-do-gastronomii-CID4-IDCMMze.html#47c989f65b
Kucharz kuchni ciepłej do restauracji SUSHI w Śródmieściu,"Warszawa, Śródmieście",,Umowa o pracę, od 14 zł do 20 zł,https://www.olx.pl/oferta/kucharz-kuchni-cieplej-do-restauracji-sushi-w-srodmiesciu-CID4-IDCMGiW.html#47c989f65b
